source,source_lang,translation_bureau,m2m100_418m_base,m2m100_418m_finetuned,mbart50_mmt_base,mbart50_mmt_finetuned,nllb_3b_base_researchonly,opus_mt_base,opus_mt_finetuned,corpus_type
"Les renseignements sur l'état de l'écosystème marin que le PMZA utilise proviennent de données recueillies par un réseau de sites d'échantillonnage (stations fixes, transects sur le plateau continental et relevés sur le poisson de fond) répartis dans chaque région (Québec, Golfe, Maritimes et Terre-Neuve)",fr,"The AZMP derives its information on the state of the marine ecosystem from data collected at a network of sampling locations (fixed point stations, cross-shelf sections, and groundfish surveys) in each region (Quebec, Gulf, Maritimes, Newfoundland) sampled at a frequency of bi-weekly to once annually","The information on the state of the marine ecosystem that the PMZA uses comes from data collected by a network of sampling sites (fixed stations, transects on the continental plateau and recorded on the background fish) distributed in each region (Quebec, Gulf, Maritimes and New Earth)","Marine ecosystem status information used by MPZA comes from data collected by a network of sampling sites (fixed stations, transects on the continental shelf and groundfish surveys) distributed across each region (Quebec, Gulf, Maritimes and Newfoundland).","Information on the state of the marine ecosystem used by PMZA comes from data collected by a network of sampling sites (fixed stations, transects on the continental shelf and groundfish surveys) located in each region (Quebec, Gulf, Maritimes and Newfoundland)","Information on the state of the marine ecosystem used by the LFAP comes from data collected by a network of sampling sites (fixed stations, transects on the continental shelf, and groundfish surveys) distributed in each region (Quebec, Gulf, Maritimes, and Newfoundland).","The information on the state of the marine ecosystem used by the PMZA is derived from data collected by a network of sampling sites (fixed stations, continental shelf transects and bottom fish surveys) in each region (Quebec, Gulf, Maritimes and Newfoundland).","The information on the state of the marine ecosystem used by the PMZA comes from data collected by a network of sampling sites (stations, transects on the continental shelf and groundfish surveys) in each region (Quebec, Gulf, Maritimes and Newfoundland).","The information on the state of the marine ecosystem used by AZMP comes from data collected by a network of sampling sites (fixed stations, transects on the continental shelf and groundfish surveys) located in each region (Quebec, Gulf, Maritimes and Newfoundland).",test_data
2006) (Table 8) and applied in projections of recruitment with a Ricker stock-recruitment model,en,2006) (tableau 8) et appliquées dans les projections de recrutement à l'aide d'un modèle stock- recrutement de Ricker,2006) (Table 8) et appliqué dans les projections de recrutement avec un modèle de recrutement de stock Ricker,2006) (tableau 8) et appliqué dans les projections du recrutement avec un modèle stock-recrutement de Ricker,2006) (tableau 8) et appliqués dans les projections de recrutement avec un modèle de recrutement de stock Ricker,2006) (Tableau 8) et appliqués dans les projections du recrutement avec un modèle stock-recrutement de Ricker,Les résultats de l'étude ont été présentés dans le cadre de l'étude de l'emploi de 2006 (tableau 8) et ont été appliqués dans les projections de recrutement avec un modèle de recrutement par stock de Ricker.,2006) (tableau 8) et appliqué dans les projections de recrutement avec un modèle de Ricker stock-recrutement,2006) (Tableau 8) et appliqué dans les projections de recrutement avec un modèle stock-recrutement de Ricker,test_data
"Toutefois, les taux de capture des engins de fond seulement montrent aussi de fortes augmentations en 1989 et 1990, suivies par une chute au niveau le plus bas jamais enregistré en 1994",fr,"However, catch rates for bottom gears alone also show the large increases in 1989 and 1990 followed by declines to the lowest rate on record in 1994","However, the capture rates of ground-based engines only show also strong increases in 1989 and 1990, followed by a drop to the lowest level ever recorded in 1994","However, only ground gear catch rates also show strong increases in 1989 and 1990, followed by a decline to the lowest level ever recorded in 1994","However, bottom gear only rates also showed strong increases in 1989 and 1990, followed by a drop to the lowest level ever recorded in 1994","However, bottom gear only catch rates also showed strong increases in 1989 and 1990, followed by a drop to the lowest level ever recorded in 1994","However, catch rates for bottom gear alone also show strong increases in 1989 and 1990, followed by a fall to the lowest level ever recorded in 1994","However, bottom gear capture rates alone also show strong increases in 1989 and 1990, followed by a drop to the lowest level ever recorded in 1994.","However, bottom gear catch rates only also show strong increases in 1989 and 1990, followed by a drop to the lowest level ever recorded in 1994",test_data
État de la ressource de 1996 à 2007 Effort de pêche L'effort de pêche mesuré en jours-bateaux n'a pas été distribué également dans la zone 9 au fil des années (Figure 3),fr,Status of the Resource from 1996 to 2007 Fishing Effort The fishing effort measured in boat-days has not been evenly distributed in Area 9 over the years (Figure 3),Resource state from 1996 to 2007 Fishing effort The fishing effort measured in boat days was not also distributed in zone 9 over the years (Figure 3),Resource status from 1996 to 2007 Fishing effort Fishing effort measured in boat days was not also distributed in Area 9 over the years (Figure 3),Status of the Resource 1996-2007 Fishing Effort The fishing effort measured in batch days was not also distributed in Zone 9 over the years (Figure 3),Resource Status 1996-2007 Fishing Effort Fishing effort measured in days-bates was not also distributed in Area 9 over the years (Figure 3).,State of the resource 1996-2007 Fishing effort The fishing effort measured in vessel days has not been distributed equally in zone 9 over the years (Figure 3),Resource status from 1996 to 2007 Fishing effort Fishing effort measured in boat days has not been distributed equally in Zone 9 over the years (Figure 3),Resource status from 1996 to 2007 Fishing effort Fishing effort measured in boat days has not been distributed equally in Area 9 over the years (Figure 3),test_data
"However, adult capelin length (age) distribution suggest that they leave the sGSL for the nwGSL and neGSL",en,"Cependant, la distribution de la longueur (âge) des capelans adultes donne à penser qu ils quittent le sGSL 13 pour le noGSL et le neGSL","Cependant, la distribution de la longueur de capeline adulte (âge) suggère qu'ils quittent le sGSL pour le nwGSL et le neGSL","Cependant, la distribution de la longueur (âge) du capelan adulte suggère qu il quitte le sGSL pour le nwGSL et le neGSL.","Cependant, la répartition de la longueur (l'âge) des capelins chez les adultes suggère qu'ils abandonnent le sGSL pour le nwGSL et le neGSL.","Cependant, la répartition de la longueur (âge) du capelan adulte suggère qu il quitte le sGSL pour le nwGSL et le neGSL.","Cependant, la répartition de la longueur (âge) du capelin adulte suggère qu'ils quittent le sGSL pour le nwGSL et le neGSL.","Cependant, la distribution de la longueur du capelan adulte (âge) suggère qu'il quitte le sGSL pour le nwGSL et le neGSL.","Cependant, la distribution de la longueur (âge) du capelan adulte suggère qu il quitte le sGSL pour le nwGSL et le neGSL.",test_data
Input data for the yield per recruit analysis for the fall spawning herring of NAFO Division 4R,en,Données d'entrée à l'analyse de rendement par recrue pour les harengs reproducteurs d'automne de la Division 4R de l'OPANO,Données d'entrée pour le rendement par analyse de recrutement pour la chute de la division NAFO 4R,Données d'entrée pour l'analyse du rendement par recrue pour le hareng reproducteur d'automne de la division 4R de l'OPANO,Données d'entrée pour l'analyse du rendement par recrue pour le hareng de frai d'automne de la Division 4R de l'OPANO,Données d'entrée pour l'analyse du rendement par recrue pour le hareng reproducteur d'automne de la division 4R de l'OPANO.,Données d'entrée pour l'analyse du rendement par recrue pour le hareng frai d'automne de la division 4R de l'OPANO,Données d'entrée pour l'analyse du rendement par recrue pour le hareng reproducteur d'automne de la division 4R de l'OPANO,Données d'entrée pour l'analyse du rendement par recrue pour le hareng reproducteur d'automne de la division 4R de l'OPANO,test_data
L'utilisation de cet arbre de décision ne peut pas être dissociée de l'utilisation et du traitement des données d'une analyse du SIG,fr,The use of this decision tree cannot be separated from the use and manipulation of information within a GIS analysis,The use of this decision tree cannot be dissociated from the use and processing of data from a SIG analysis.,The use of this decision tree cannot be dissociated from the use and processing of data from a SIG analysis.,The use of this decision tree cannot be dissociated from the use and processing of data from a GIS analysis.,The use of this decision tree cannot be dissociated from using and processing data from a GIS analysis.,The use of this decision tree cannot be separated from the use and processing of data from a GIS analysis,The use of this decision tree cannot be dissociated from the use and processing of GIS analysis data.,The use of this decision tree cannot be dissociated from the use and processing of data from a GIS analysis.,test_data
"1998 ont reporté que l'ouest du golfe est plus froide que la normale et que l'est du golfe est légèrement plus chaud, les températures de fond dans les deux régions sont à la hausse",fr,"1998 reported that the western Gulf is colder than normal and the eastern Gulf is slightly warmer, bottom temperatures in both areas are warming up","1998 reported that the west of the Gulf is colder than the normal and that the east of the Gulf is slightly hoter, the background temperatures in both regions are rising","1998 reported that the western Gulf is cooler than normal and the eastern Gulf is slightly warmer, bottom temperatures in both regions are increasing.","1998 deferred that the west of the Gulf is colder than normal and that the east of the Gulf is slightly warmer, the ground temperatures in both regions are increasing","1998 report that the western Gulf is colder than normal and the eastern Gulf is slightly warmer, bottom temperatures in both regions are increasing","1998 reported that the western Gulf is colder than normal and the eastern Gulf is slightly warmer, with background temperatures in both regions rising","1998 reported that the western Gulf is colder than normal and the eastern Gulf is slightly warmer, bottom temperatures in both regions are rising","1998 reported that the western Gulf is colder than normal and the eastern Gulf is slightly warmer, bottom temperatures in both regions are increasing",test_data
The age estimates from the modal analysis could not confidently quantify the anticipated increase in Age 4 male Shrimp for 2017,en,Les estimations d'âge provenant de l'analyse modale ne peuvent pas quantifier de manière optimiste l'augmentation prévue de la crevette mâle d'âge 4 pour 2017,Les estimations d'âge de l'analyse modale ne pouvaient pas quantifier avec confiance l'augmentation prévue dans l'âge 4 Shrimp masculin pour 2017,Les estimations de l'âge tirées de l'analyse modale ne pouvaient pas quantifier avec certitude l'augmentation prévue de la crevette mâle d'âge 4 pour 2017,Les estimations d’âge tirées de l’analyse modale n’ont pas permis de quantifier avec certitude l’augmentation prévue de la population de Shrimps mâles âgés de 4 ans pour 2017.,Les estimations de l'âge provenant de l'analyse modale n'ont pas pu quantifier avec certitude l'augmentation prévue de la population de crevettes mâles d'âge 4 pour 2017.,Les estimations d'âge issues de l'analyse modale n'ont pas permis de quantifier avec certitude l'augmentation prévue de la population de crevettes mâles âgées de 4 ans pour 2017,Les estimations d'âge de l'analyse modale n'ont pas pu quantifier avec certitude l'augmentation prévue de la crevette masculine de l'âge 4 pour 2017,Les estimations de l'âge tirées de l'analyse modale n'ont pas pu quantifier avec certitude l'augmentation prévue de la crevette mâle d'âge 4 pour 2017,test_data
"Il est impossible de savoir si les anguilles d'ensemencement contribuent jamais au recrutement, faute de connaissances sur le comportement des reproducteurs",fr,"Impossible to know whether stocked eels ever contribute to recruitment, given our lack of knowledge about spawning behaviour","It is impossible to know if the seed angles never contribute to recruitment, due to lack of knowledge about the behavior of the reproductors.",It is not possible to know if stalling eels are ever contributing to recruitment due to lack of knowledge of spawner behaviour.,"It is impossible to know whether seedling eels have ever contributed to recruitment, due to lack of knowledge of breeder behaviour",It is not possible to know if stocking eels ever contribute to recruitment due to lack of knowledge of spawning behaviour.,It is impossible to know whether seeding eels ever contribute to recruitment due to a lack of knowledge about breeding behaviour,"It is impossible to know whether seeding eels ever contribute to recruitment, due to a lack of knowledge about the behavior of breeding eels.",It is impossible to know if stocking eels ever contribute to recruitment due to a lack of knowledge of spawner behaviour.,test_data
"CONCLUSIONS La plage proposée pour les introductions dans le lac Okanagan d'alevins de saumon rouge provenant d'écloserie, comprise entre 750 000 et 3,5 millions d'alevins, représente un ajout progressif relativement petit au nombre moyen d'alevins de saumon kokani pélagique ou à la biomasse d'autres poissons pélagiques présents à l'heure actuelle dans le lac Okanagan",fr,CONCLUSIONS Introductions of a proposed range of between 750 000 and 3.5 million hatchery-origin Sockeye Salmon fry into Okanagan Lake represent relatively small incremental additions to either the average numbers of pelagic kokanee fry or biomass of other pelagic fish currently present in Okanagan Lake,"The proposed beach for the introduction to Lake Okanagan of red salmon elephants from eclosery, comprising between 750,000 and 3.5 million elephants, represents a relatively small progressive addition to the average number of pelagial kokani salmon elephants or to the biomass of other pelagial fish present at present in Lake Okanagan.","CONCLUSIONS The proposed area for hatchery-based sockeye salmon halibut introductions to Okanagan Lake, comprising between 750,000 and 3.5 million halibut, represents a relatively small progressive addition to the average number of pelagic Kokani salmon halibut or to the biomass of other pelagic fish currently present in Okanagan Lake.","CONCLUSIONS The proposed range for the introduction into Lake Okanagan of harvester red salmon lambs, comprising between 750,000 and 3.5 million lambs, represents a relatively small incremental addition to the average number of pelagic kokani salmon lambs or to the biomass of other pelagic fish present in Lake Okanagan.","CONCLUSIONS The proposed range for hatchery-origin Sockeye Salmon eel introductions to Okanagan Lake, comprising between 750,000 and 3.5 million eels, represents a relatively small incremental addition to the average number of pelagic kokanee salmon eels or to the biomass of other pelagic fish currently present in Okanagan Lake.","CONCLUSIONS The proposed range for the introduction into Lake Okanagan of spawning brown salmon fry, between 750 000 and 3,5 million fry, represents a relatively small incremental addition to the average number of pelagic kokani salmon fry or to the biomass of other pelagic fish currently present in Lake Okanagan","CONCLUSIONS The proposed range for introductions of hatchery-grown sockeye fry to Okanagan Lake, between 750,000 and 3.5 million fry, represents a relatively small incremental addition to the mean number of pelagic kokani fry or to the biomass of other pelagic fish currently present in Okanagan Lake.","CONCLUSIONS The proposed range for introductions of hatchery-origin Sockeye Salmon fry to Okanagan Lake, between 750,000 and 3.5 million fry, represents a relatively small incremental addition to the average number of pelagic Kokani fry or to the biomass of other pelagic fish currently present in Okanagan Lake.",test_data
"Management considerations Because of the winter mixing and lack of characteristics for separation of redfish from the two Units, it would not be possible to allocate the relative impact of late fall and winter fisheries in 3Pn and Cabot Strait, to Unit 1 and Unit 2 stocks",en,"C En raison du mélange du sébaste de u caractéristiques qui permettraient de séparer le sébaste de chacune de ces unités, on ne saurait imputer au stock de l'unité 1 ou à celui de l'unité 2 l'impact relatif de la pêche de fin d'automne et d'hiver dans 3Pn et dans le détroit de Cabot","Considérations de gestion En raison du mélange d'hiver et de l'absence de caractéristiques pour la séparation des poissons rouges des deux unités, il ne serait pas possible d'attribuer l'impact relatif de la pêche fin d'hiver et d'hiver dans 3Pn et Cabot Strait, aux stocks unit 1 et unit 2","Considérations de gestion En raison du mélange hivernal et du manque de caractéristiques pour la séparation des sébastes des deux unités, il ne serait pas possible d'attribuer l'impact relatif des pêches d'automne et d'hiver à la fin de 3Pn et au détroit de Cabot aux stocks des unités 1 et 2","Considérations de gestion En raison du mélange hivernal et de l'absence de caractéristiques permettant de séparer les poissons rouges des deux unités, il ne serait pas possible d'affecter l'impact relatif des pêches d'automne et d'hiver dans le détroit de 3Pn et de Cabot aux stocks de l'unité 1 et de l'unité 2.","Considérations de gestion En raison du mélange hivernal et du manque de caractéristiques pour séparer les sébastes des deux unités, il ne serait pas possible d'allouer l'impact relatif des pêches d'automne et d'hiver dans 3Pn et le détroit de Cabot aux stocks de l'unité 1 et de l'unité 2","Considérations relatives à la gestion En raison du mélange hivernal et de l'absence de caractéristiques permettant de séparer les séraphins des deux unités, il ne serait pas possible d'attribuer l'impact relatif des pêches de fin d'automne et d'hiver dans le 3Pn et le détroit de Cabot aux stocks des unités 1 et 2","En raison du mélange hivernal et de l'absence de caractéristiques pour la séparation du sébaste des deux unités, il ne serait pas possible d'attribuer l'impact relatif des pêches de fin d'automne et d'hiver dans le détroit de 3Pn et Cabot aux stocks de l'unité 1 et de l'unité 2.","Considérations de gestion En raison du mélange hivernal et du manque de caractéristiques pour séparer les sébastes des deux unités, il ne serait pas possible d'attribuer l'impact relatif des pêches de fin d'automne et d'hiver dans 3Pn et le détroit de Cabot aux stocks des unités 1 et 2.",test_data
L indice de taux de capture standardisé pour les palangres (Figure 9) indique une augmentation de l'abondance entre 1995 et 2006,fr,The index of standardized catch rates for longline show a general increase in abundance from 1995 to 2006 (Figure 9),The standardized catch rate index (Figure 9) indicates an increase in the abundance between 1995 and 2006,The standardized longline catch rate index (Figure 9) indicates an increase in abundance between 1995 and 2006,The standardized catch rate index for trout (Figure 9) indicates an increase in abundance between 1995 and 2006,The standardized catch rate index for longlines (Figure 9) indicates an increase in abundance between 1995 and 2006,The standardised catch rate index for longliners (Figure 9) indicates an increase in abundance between 1995 and 2006,The standard catch rate index for longlines (Figure 9) indicates an increase in abundance between 1995 and 2006.,The standardized catch rate index for longlines (Figure 9) indicates an increase in abundance between 1995 and 2006,test_data
"Dans les figures 21 représentant les données sur la longueur, pourquoi les longueurs issues de la pêche commerciale sont-elles regroupées et non séparées par sexe",fr,"In the length data figures, why are commercial lengths aggregated and not separated by sex","In figures 21 representing the length data, why the lengths derived from commercial fishing are grouped and not separated by gender","In Figures 21 representing length data, why are lengths from the commercial fishery aggregated and not separated by sex.","In Figures 21 representing the length data, why are commercial fishing lengths grouped and not sex-separated","In Figures 21 representing the length data, why are the commercial fishery lengths aggregated and not sex-separated","In Figures 21 showing the length data, why are the lengths from commercial fisheries grouped together and not separated by sex?","In Figures 21 representing length data, why are lengths from commercial fisheries grouped and not separated by sex?","In Figures 21 representing length data, why are lengths from the commercial fishery grouped and not separated by sex.",test_data
"Dans la zone 19, les expériences de marquage-recapture ont été effectuées durant deux périodes différentes de la condition de stock: une période de diminution (1993-1996) et d'augmentation (1997-2001) de la biomasse",fr,"In Area 19, tag-recapture experiments were conducted during two different phases of stock condition: a decreasing biomass phase in 1993-1996 and an increasing biomass phase in 1997-2001","In zone 19, marking and recovery experiments were carried out during two different periods of stock condition: a period of decrease (1993-1996) and increase (1997-2001) of biomass","In Area 19, tagging-recapture experiments were conducted over two different periods of stock condition: a period of decrease (1993-1996) and increase (1997-2001) in biomass.","In Zone 19, marking-recapture experiments were carried out during two different periods of stock condition: a period of decreasing (1993-1996) and increasing (1997-2001) biomass","In Area 19, tagging-recapture experiments were conducted over two different periods of stock condition: a period of declining (1993-1996) and increasing (1997-2001) biomass.","In zone 19, the marking-recapture experiments were carried out during two different periods of stock condition: a period of decreasing (1993-1996) and increasing (1997-2001) biomass","In Zone 19, marking-recapture experiments were carried out during two different periods of stock condition: a period of decrease (1993-1996) and increase (1997-2001) in biomass.","In Area 19, tagging-recapture experiments were conducted during two different periods of stock condition: a period of decreasing (1993-1996) and increasing (1997-2001) biomass.",test_data
Ces importantes captures font en sorte que la moyenne des débarquements des cinq dernières années équivaut au TAC de 350 t'autorisé depuis 2000,fr,These significant catches cause the average landings over the last five years to equal the 350 t TAC authorized since 2000,These major captures make sure that the average landing in the last five years is equivalent to the 350 TAC permitted since 2000,These large catches make the average landings in the last five years equal to the 350 t TAC permitted since 2000,These significant catches ensure that the average landings over the past five years are equivalent to the TAC of 350 t authorized since 2000.,These large catches ensure that the average landings in the last five years is equal to the 350 t TAC authorized since 2000.,These large catches mean that the average landings over the past five years are equivalent to the TAC of 350 tonnes authorised since 2000.,These large catches mean that the average landings of the last five years is equivalent to the TAC of 350 allowed since 2000,These large catches mean that the average landings of the last five years are equivalent to the TAC of 350 t allowed since 2000,test_data
"À l'heure actuelle, rien n'indique qu un vecteur soit nécessaire pour la transmission du RVP",fr,Currently there is no evidence to suggest a vector is needed for PRV transmission,"At present, nothing indicates that a vector is needed for the transmission of the RVP","Currently, there is no indication that a vector is required for the transmission of the PRV.","Currently, there is no indication that a vector is required for the transmission of the RPP","Currently, there is no indication that a vector is required for the transmission of the RPA.","At present, there is no indication that a vector is necessary for the transmission of the RVP","At present, there is no indication that a vector is needed for the transmission of RVP.","Currently, there is no indication that a vector is required for PRV transmission.",test_data
"The surface occupied by the prerecruits 56 mm CW in 2006 decreased from 2005 and they were mostly observed in small concentrations in Bradelle Bank, the Cape Breton Corridor and in Chaleur Bay (Fig",en,"La surface occupée par les prérecrues 56 mm LC en 2006 a diminué comparativement à 2005 et ont été surtout observés en petites densités dans le banc Bradelle, le corridor du Cap-Breton et la baie des Chaleurs (fig","La surface occupée par les prerecruits 56 mm CW en 2006 a diminué de 2005 et ils ont été principalement observés dans de petites concentrations à Bradelle Bank, au Corridor de Cap Breton et à Chaleur Bay (Fig).","La surface occupée par les prérecrues de 56 mm CW en 2006 a diminué à partir de 2005 et ils ont été principalement observés dans de petites concentrations dans le banc de Bradelle, le corridor du Cap-Breton et dans la baie de Chaleur (Fig).","La surface occupée par les prérecruits 56 mm CW en 2006 a diminué par rapport à 2005 et elles ont été observées surtout dans de petites concentrations à Bradelle Bank, dans le corridor du Cap-Breton et dans la baie de Chaleur (fig.","La surface occupée par les prérecrues 56 mm LC en 2006 a diminué par rapport à 2005, et elles ont été observées surtout à de petites concentrations dans le banc Bradelle, le corridor du Cap-Breton et la baie Chaleur (fig.","La surface occupée par les prérécrues 56 mm CW en 2006 a diminué par rapport à 2005 et elles ont été principalement observées en petites concentrations à Bradelle Bank, dans le corridor du Cap-Breton et dans la baie de Chaleur (Fig.","La surface occupée par les prérecrues de 56 mm en 2006 a diminué par rapport à 2005 et elles ont surtout été observées dans de petites concentrations au banc Bradelle, dans le corridor du Cap-Breton et dans la baie des Chaleurs (Fig.","La surface occupée par les prérecrues de 56 mm de LC en 2006 a diminué par rapport à 2005 et elles ont été surtout observées dans de petites concentrations sur le banc Bradelle, dans le corridor du Cap-Breton et dans la baie des Chaleurs (fig.",test_data
Values are in number at age weighted by acoustic biomass estimate,en,"Biomasse 'à l'âge (tonnes) pour les géniteurs de PRINTEMPS par zone de l'OPANO, obtenue des estimations de relevés acoustiques 1990-95",Les valeurs sont en nombre à l'âge pesées par une estimation de la biomasse acoustique,Les valeurs sont en nombre selon l'âge pondérées par l'estimation de la biomasse acoustique.,Les valeurs sont en nombre à l'âge pondéré par l'estimation de la biomasse acoustique,Les valeurs sont en nombre selon l'âge pondéré par l'estimation de la biomasse acoustique,Les valeurs sont en nombre à l'âge pondéré par l'estimation de la biomasse acoustique,Les valeurs sont en nombre à l'âge pondéré par l'estimation acoustique de la biomasse,Les valeurs sont en nombre à l'âge pondéré par l'estimation acoustique de la biomasse,test_data
"Les estimations de la BSR étaient plus élevées dans les modèles mSCA et qmSCA que dans les autres modèles, principalement pour les années 1985 à 1995 et 2003 à 2015",fr,"SSB estimates were higher in models m SCA and qm SCA than other models, mostly for years 1985 to 1995, and 2003 to 2015","BSR estimates were higher in mSCA and qmSCA models than in other models, mainly for the years 1985 to 1995 and 2003 to 2015","SSB estimates were higher in mSCA and qmSCA than in other models, mainly for the years 1985-1995, and 2003-2015","BSR estimates were higher in mSCA and qmSCA models than in other models, mainly for the years 1985 to 1995 and 2003 to 2015","SSB estimates were higher in mSCA and qmSCA than in the other models, mainly for the years 1985 to 1995 and 2003 to 2015.","BSR estimates were higher in the mSCA and qmSCA models than in the other models, mainly for the years 1985 to 1995 and 2003 to 2015","BSR estimates were higher in the mSCA and qmSCA models than in the other models, mainly for the years 1985 to 1995 and 2003 to 2015","SSB estimates were higher in the mSCA and qmSCA models than in the other models, mainly for the years 1985 to 1995 and 2003 to 2015",test_data
La ligne pointillée indique la moyenne de la série de données,fr,The dotted line shows the data series mean,The pointed line indicates the average of the data series,The dashed line indicates the data series average.,The dotted line indicates the average of the data series,The dotted line indicates the data series average,The dotted line indicates the average of the data series,The dotted line indicates the average of the data series,The dashed line indicates the data series average,test_data
"Pacific Ocean Perch (Sebastes alutus) stock assessment for the west coast of Vancouver Island, British Columbia",en,Évaluation du stock et évaluation du potentiel de rétablissement du sébaste à bouche jaune (Sebastes reedi) le long de la côte du Pacifique au Canada,"Évaluation des stocks Pacific Ocean Perch (Sebastes alutus) pour la côte ouest de l'île de Vancouver, Colombie britannique","Évaluation du stock de perche océanique (Sebastes alutus) pour la côte ouest de l'île de Vancouver, Colombie-Britannique",Évaluation du stock de perche du Pacifique (Sebastes alutus) pour la côte ouest de l'île de Vancouver (Colombie-Britannique),Évaluation du stock de perche de l'océan Pacifique (Sebastes alutus) pour la côte ouest de l'île de Vancouver (Colombie-Britannique),"Évaluation du stock de perche de l'océan Pacifique (Sebastes alutus) pour la côte ouest de l'île de Vancouver, en Colombie-Britannique",Évaluation des stocks de perchaude (Sebastes alutus) de la côte ouest de l'île de Vancouver (Colombie-Britannique),Évaluation du stock de perchaude (Sebastes alutus) sur la côte ouest de l'île de Vancouver (Colombie-Britannique),test_data
"Température Superficie s(y) s(y, par Superficie) sin.y cos.y s'(Profondeur, sin.y, cos.y) L'ajustement aux profils saisonniers pour différentes profondeurs est visible sur la figure 141 pour les ZPH 27N et 33O",fr,"Temperature Area s(y) s(y, by Area) sin.y cos.y s (Depth, sin.y, cos.y) The fit to the seasonal patterns for various depths can be seen in Figure 141 for areas LFA 27N and 33W","Temperature Surface s(y) s(y, by Surface) sin.y cos.y s'(Deep, sin.y, cos.y) Adjustment to seasonal profiles for different depths is visible on Figure 141 for ZPH 27N and 33O","Temperature Surface s(y) s(y, by Surface) sin.y cos.y s(Deep, sin.y, cos.y) Adjustment to seasonal patterns for different depths is visible on Figure 141 for LFA 27N and 33O","Temperature Surface s(y) s(y, by Surface) sin.y cos.y s'(Deepness, sin.y, cos.y) The adjustment to seasonal profiles for different depths is shown in Figure 141 for ZPH 27N and 33O","Temperature Area s(y) s(y, by Area) sin.y cos.y s (Depth, sin.y, cos.y) The fit to the seasonal patterns for different depths is visible on Figure 141 for LFAs 27N and 33O.",The adjustment to seasonal profiles for different depths can be seen in Figure 141 for ZPH 27N and 33O,"Temperature Area s(y) s(y, per Area) sin.y cos.y s'(Depth, sin.y, cos.y) The adjustment to seasonal profiles for different depths is shown in Figure 141 for LFAs 27N and 33O","Temperature Area s(y) s(y, by Area) sin.y cos.y s (depth, sin.y, cos.y) The fit to seasonal patterns for different depths is visible in Figure 141 for LFAs 27N and 33O.",test_data
Les propo rtions de poissons d'élevage identi fi ables sont montées à 36 des petits et à 22 des grands saumons de retour; les taux de retour des smolts d'élevage corre spondent à l'indice de l'habitat marin hivernal sur 20 ans et demeurent parmi les plus bas enregistrés,fr,Identifiable hatchery fish increased to 36 of small and 22 of large satmon returns ; return rates for hatchery smolts correlate with a 20-year index of marine winter habitat and remain among the lowest of record,The propo rtions of identififi ables farming fish have risen to 36 of the small and to 22 of the big salmon return; the return rates of the curry farming smolts rise to the winter marine habitat index over 20 years and remain among the lowest recorded,The propo rtions of identififi ables farmed fish have increased to 36 of the small and 22 of the large returning salmon; the return rates of farmed smolts sponge to the 20 year winter marine habitat index and remain among the lowest recorded.,Proportions of identical breeding fish were found in 36 of the returning juveniles and 22 of the returning large salmon; the return rates of the corral breeding smolts shifted to the winter marine habitat index over 20 years and remained among the lowest recorded,Proportions of identical farmed fish were observed in 36 of returning small and 22 of returning large salmon; return rates of farmed smolts over 20 years ranged from the winter marine habitat index to remain among the lowest recorded.,The proportions of identifiable farmed fish have risen to 36 of small and 22 of large salmon returns; farmed smolt returns are in line with the 20-year marine winter habitat index and remain among the lowest on record.,Identifiable farmed fish propo tions are up to 36 of the cubs and 22 of the large returning salmon; farmed smolt return rates are consistent with the 20-year winter marine habitat index and remain among the lowest recorded.,Identical farmed fish propo tions are up to 36 of the small and 22 of the large returning salmon; farmed smolt return rates correspond to the 20-year winter marine habitat index and remain among the lowest recorded.,test_data
Size groups 8 and 9 are in 5mm increments to give a clear indication of the number of Lobster just under the legal size limit,en,Les groupes de taille 8 et 9 sont par tranches de 5 mm pour donner une indication claire du nombre de homards juste en dessous de la limite de taille réglementaire,Les groupes de taille 8 et 9 sont en augmentations de 5 mm pour donner une indication claire du nombre de Lobster juste au-dessous de la limite de taille légale.,Les groupes de taille 8 et 9 sont dans des increments de 5 mm pour fournir une indication claire du nombre de homards juste sous la limite de taille réglementaire.,Les groupes de taille 8 et 9 sont en augmentation de 5 mm pour donner une indication claire du nombre de homards juste sous la limite de taille légale.,Les groupes de tailles 8 et 9 sont en increments de 5 mm pour donner une indication claire du nombre de homards juste sous la limite de taille légale.,Les groupes de taille 8 et 9 sont présentés par incréments de 5 mm pour donner une indication claire du nombre de homards juste en dessous de la limite légale de taille.,Les groupes de tailles 8 et 9 sont par incréments de 5 mm pour donner une indication claire du nombre de homards juste en dessous de la limite de taille légale.,Les groupes de taille 8 et 9 sont répartis en tranches de 5 mm pour donner une indication claire du nombre de homards juste en dessous de la limite de taille légale.,test_data
